지역,인구,승객,침대,승객화물,비상,장애인,전망,화물,자동차,승객소형,에스컬레이터,무빙워크,화물소형,휠체어
가평군,62551,411,12,11,53,309,41,17,3,4,42,2,19,9
덕양구,473594,"2,242",46,26,"2,054","1,211",41,85,112,2,231,44,65,25
일산동구,298901,"1,670",47,46,937,"1,139",63,123,112,0,362,55,54,6
일산서구,303346,"1,264",18,34,"1,250",697,39,64,114,0,244,58,35,11
과천시,61982,420,3,72,187,218,20,20,26,5,112,9,12,11
광명시,305836,"1,295",30,38,721,774,29,63,83,1,180,38,43,16
광주시,380291,"2,806",32,46,909,"1,203",41,278,14,9,45,12,33,15
구리시,197974,886,29,6,854,473,24,23,34,3,103,19,32,14
군포시,274985,"1,638",21,61,684,908,17,326,153,3,85,27,33,13
김포시,463735,"1,885",63,56,"2,740","2,250",34,297,58,3,242,66,40,25
남양주시,710433,"2,624",61,68,"3,206","2,616",38,154,51,9,146,91,55,33
동두천시,93901,421,23,11,188,545,9,36,6,0,31,6,9,6
부천시,822000,"4,639",122,107,"1,655","2,631",95,423,504,4,577,86,112,27
분당구,483601,"3,409",56,117,"1,470","1,906",137,143,307,73,724,44,77,28
수정구,241803,"1,084",32,17,685,774,36,40,59,4,174,14,42,16
중원구,216379,"1,056",13,12,397,703,20,163,84,1,44,0,16,19
권선구,369755,"2,369",44,31,"1,391","1,474",23,199,25,0,195,76,32,10
영통구,369381,"2,184",43,97,"2,115","1,260",16,195,73,1,430,57,47,19
장안구,274911,"1,216",33,26,956,715,15,53,38,1,41,24,43,12
팔달구,174879,"1,655",45,17,541,782,28,41,100,1,297,14,54,18
시흥시,493005,"2,677",62,176,"2,228","1,656",44,458,149,0,251,44,39,27
단원구,304870,"1,390",75,83,657,"1,556",38,788,93,2,349,69,67,21
상록구,348635,"1,530",51,30,393,647,29,88,123,0,73,26,23,13
안성시,186460,"1,035",15,45,660,723,26,374,12,0,45,31,59,19
동안구,312682,"1,972",24,60,966,753,38,205,187,3,211,57,17,14
만안구,240604,"1,239",24,28,647,837,42,111,116,0,95,0,15,13
양주시,229427,829,37,35,747,"1,342",15,143,15,2,28,24,27,10
양평군,118433,611,18,13,135,343,12,18,3,3,64,8,20,15
여주시,111512,536,18,9,145,466,14,89,6,0,44,6,30,13
연천군,43590,119,5,2,53,104,2,11,1,0,1,0,6,6
오산시,229249,"1,416",31,21,"1,164",907,5,116,26,1,52,45,21,15
기흥구,440923,"1,483",40,63,"2,391","2,355",70,254,81,22,302,76,65,17
수지구,376319,783,30,28,"2,472","1,271",23,55,49,9,208,56,17,16
처인구,258455,"1,406",30,39,771,"1,050",31,393,21,3,98,17,58,20
의왕시,163720,612,13,13,917,578,2,93,60,3,16,22,32,8
의정부시,458273,"1,862",66,41,"2,178","1,539",43,63,72,0,207,72,66,38
이천시,219531,"1,313",23,66,598,861,38,330,11,0,138,20,35,14
파주시,461314,"2,237",58,69,"1,773","2,256",46,391,33,42,184,52,45,26
평택시,529140,"5,149",68,141,"2,406","2,360",43,708,66,5,193,54,88,32
포천시,147803,802,15,14,216,487,23,110,10,0,11,18,12,15
하남시,287452,"1,312",13,56,"1,633","1,015",27,119,71,0,300,60,24,10
화성시,846850,"3,749",91,157,"4,977","3,921",89,"1,060",57,4,248,95,84,58
